IDpol,ClaimNb,Exposure,VehPower,VehAge,DrivAge,BonusMalus,VehBrand,VehGas,Area,Density,Region,ClaimAmount,Power_x_DrivAge,DrivAge_bucket
5741.0,1,0.47,7,0,32,80,B12,Regular,E,3317,Provence-Alpes-Cotes-D'Azur,3950.26,224,26-35
5973.0,1,0.52,9,0,34,100,B12,Regular,E,9307,Rhone-Alpes,1662.96,306,26-35
6031.0,1,0.46,6,5,47,70,B5,Diesel,D,1021,Basse-Normandie,680.7,282,36-50
6109.0,1,0.39,11,6,46,50,B1,Diesel,D,1422,Rhone-Alpes,600.21,506,36-50
6242.0,1,0.5,9,0,34,55,B12,Regular,D,824,Languedoc-Roussillon,594.76,306,26-35
6294.0,1,0.43,6,8,23,100,B1,Diesel,D,800,Aquitaine,83.14,138,18-25
6331.0,1,0.44,7,0,43,50,B12,Regular,C,188,Picardie,553.22,301,36-50
6375.0,1,0.47,7,4,46,50,B6,Regular,B,56,Ile-de-France,2031.77,322,36-50
6477.0,1,0.29,6,0,42,90,B12,Regular,F,17140,Ile-de-France,893.56,252,36-50
6575.0,1,0.26,5,6,32,71,B1,Regular,E,3274,Ile-de-France,90.24,160,26-35
6785.0,1,0.44,6,0,41,51,B12,Regular,D,1370,Midi-Pyrenees,581.21,246,36-50
6886.0,1,0.42,6,0,41,75,B2,Diesel,E,3744,Provence-Alpes-Cotes-D'Azur,83.87,246,36-50
6937.0,2,0.43,5,8,18,100,B5,Diesel,E,2498,Aquitaine,81.14,90,18-25
6937.0,2,0.43,5,8,18,100,B5,Diesel,E,2498,Aquitaine,1093.86,90,18-25
7123.0,1,0.46,7,0,44,58,B12,Diesel,C,458,Provence-Alpes-Cotes-D'Azur,579.14,308,36-50
7222.0,1,0.27,5,2,55,50,B12,Diesel,D,966,Bourgogne,407.09,275,51-70
7232.0,1,0.14,6,0,31,51,B12,Regular,D,675,Languedoc-Roussillon,891.75,186,26-35
7330.0,1,0.21,4,3,36,100,B1,Regular,E,2537,Nord-Pas-de-Calais,647.34,144,36-50
7465.0,1,0.26,15,10,36,50,B12,Regular,C,256,Rhone-Alpes,2101.04,540,36-50
7489.0,1,0.38,7,2,33,100,B2,Diesel,E,5460,Ile-de-France,74.23,231,26-35
7652.0,1,0.35,6,0,73,58,B12,Regular,E,4762,Provence-Alpes-Cotes-D'Azur,2767.64,438,
7655.0,1,0.36,5,0,53,64,B12,Regular,C,102,Provence-Alpes-Cotes-D'Azur,734.81,265,51-70
7741.0,1,0.26,6,2,56,50,B12,Diesel,B,97,Pays-de-la-Loire,626.68,336,51-70
7757.0,1,0.35,10,1,54,66,B12,Regular,A,20,Rhone-Alpes,742.73,540,51-70
7779.0,1,0.24,8,4,28,68,B12,Regular,D,824,Languedoc-Roussillon,79.86,224,26-35
7924.0,1,0.26,6,3,45,50,B12,Regular,E,2618,Picardie,746.84,270,36-50
8077.0,1,0.33,7,9,49,50,B12,Diesel,C,330,Provence-Alpes-Cotes-D'Azur,72.93,343,36-50
8092.0,1,0.25,4,0,31,60,B12,Regular,D,653,Rhone-Alpes,712.13,124,26-35
8652.0,1,0.25,10,1,56,50,B12,Regular,C,159,Languedoc-Roussillon,564.45,560,51-70
8912.0,1,0.12,7,0,75,50,B12,Regular,E,6902,Nord-Pas-de-Calais,1449.64,525,
9501.0,1,0.19,4,0,51,50,B12,Regular,C,100,Poitou-Charentes,1037.95,204,51-70
9589.0,1,0.14,5,0,60,50,B12,Regular,F,12750,Ile-de-France,1181.77,300,51-70
9954.0,1,0.14,4,7,78,62,B6,Regular,D,1541,Languedoc-Roussillon,1284.45,312,
9993.0,1,0.2,7,4,22,100,B5,Regular,B,53,Bourgogne,1826.34,154,18-25
10175.0,1,0.12,5,0,25,72,B12,Regular,D,515,Poitou-Charentes,343.21,125,18-25
10741.0,1,0.07,10,10,24,80,B12,Regular,B,72,Aquitaine,6241.73,240,18-25
16650.0,1,1.0,8,9,56,50,B6,Diesel,C,272,Aquitaine,1128.12,448,51-70
16661.0,1,1.0,7,1,63,50,B1,Diesel,D,1062,Auvergne,1626.6,441,51-70
16712.0,1,0.5,5,4,42,50,B1,Regular,C,361,Haute-Normandie,109.38,210,36-50
16842.0,1,1.0,4,13,36,58,B2,Regular,C,229,Bretagne,1128.12,144,36-50
16939.0,1,0.68,5,4,46,50,B6,Regular,E,4116,Centre,3560.09,230,36-50
16948.0,2,0.75,4,8,56,61,B5,Regular,D,1284,Basse-Normandie,1128.12,224,51-70
16948.0,2,0.75,4,8,56,61,B5,Regular,D,1284,Basse-Normandie,78.4,224,51-70
16961.0,1,0.54,7,12,44,52,B1,Regular,C,399,Centre,1006.88,308,36-50
16962.0,1,0.19,7,13,44,65,B1,Regular,C,399,Centre,1128.12,308,36-50
16985.0,1,0.35,8,9,45,62,B14,Diesel,C,151,Rhone-Alpes,1128.12,360,36-50
17000.0,1,1.0,6,2,73,55,B2,Diesel,C,105,Centre,1021.82,438,
17006.0,1,1.0,5,7,61,50,B1,Regular,C,461,Bretagne,1128.12,305,51-70
17023.0,1,1.0,7,8,53,50,B1,Regular,C,121,Centre,84.3,371,51-70
17087.0,1,0.19,7,0,44,50,B1,Diesel,B,56,Basse-Normandie,1128.12,308,36-50
17125.0,1,1.0,8,7,65,62,B3,Regular,A,44,Centre,1128.12,520,51-70
17171.0,1,1.0,7,8,78,50,B1,Regular,C,282,Centre,109.56,546,
17265.0,1,1.0,4,6,51,50,B2,Regular,A,40,Centre,1544.32,204,51-70
17279.0,1,1.0,4,8,76,52,B6,Regular,C,405,Centre,820.58,304,
17288.0,1,0.59,6,1,69,50,B1,Regular,D,741,Centre,1128.12,414,51-70
17450.0,1,0.99,8,9,56,50,B1,Diesel,D,1284,Basse-Normandie,1128.12,448,51-70
17520.0,1,1.0,5,1,72,50,B1,Regular,A,48,Centre,316.62,360,
17599.0,1,0.39,6,10,55,50,B2,Diesel,A,26,Pays-de-la-Loire,1700.93,330,51-70
17635.0,1,1.0,5,1,72,50,B2,Regular,D,581,Rhone-Alpes,1128.12,360,
17678.0,1,0.5,6,6,44,50,B1,Diesel,B,56,Centre,1128.12,264,36-50
17681.0,1,1.0,7,9,78,50,B1,Regular,D,1284,Basse-Normandie,520.32,546,
17711.0,1,0.49,6,5,50,50,B2,Diesel,A,48,Bretagne,69348.0,300,36-50
17717.0,1,1.0,6,6,78,50,B1,Regular,A,43,Poitou-Charentes,1128.12,468,
17850.0,1,0.75,4,10,50,50,B1,Diesel,C,251,Basse-Normandie,92.99,200,36-50
17948.0,1,1.0,5,10,62,50,B1,Regular,E,2563,Ile-de-France,649.46,310,51-70
18037.0,1,0.67,7,2,53,62,B2,Regular,A,13,Centre,1128.12,371,51-70
18070.0,1,1.0,6,13,48,50,B5,Regular,C,335,Centre,258.15,288,36-50
18085.0,1,1.0,7,6,54,50,B2,Regular,B,66,Centre,1128.12,378,51-70
18134.0,1,1.0,15,1,73,50,B10,Regular,A,10,Centre,5468.42,1095,
18165.0,1,0.24,7,18,51,100,B1,Regular,D,1313,Centre,3714.99,357,51-70
18179.0,1,0.72,4,11,79,50,B1,Regular,A,39,Centre,25074.81,316,
18301.0,1,1.0,10,11,66,50,B12,Diesel,E,4116,Centre,2514.57,660,51-70
18417.0,1,0.5,5,5,53,50,B1,Regular,B,94,Bretagne,57.77,265,51-70
18464.0,1,1.0,7,14,63,50,B1,Regular,D,1943,Centre,10.16,441,51-70
18492.0,1,1.0,5,9,50,50,B5,Diesel,C,399,Centre,1128.12,250,36-50
18549.0,1,1.0,9,10,53,85,B1,Regular,C,255,Centre,1128.12,477,51-70
18698.0,2,1.0,6,12,86,50,B1,Regular,C,227,Poitou-Charentes,1128.12,516,
18698.0,2,1.0,6,12,86,50,B1,Regular,C,227,Poitou-Charentes,1128.12,516,
18718.0,1,1.0,6,4,67,50,B1,Diesel,A,18,Centre,1253.0,402,51-70
18735.0,1,1.0,5,8,56,50,B2,Regular,E,8455,Rhone-Alpes,1128.12,280,51-70
18748.0,1,1.0,11,11,48,50,B10,Regular,A,49,Poitou-Charentes,1128.12,528,36-50
18761.0,1,0.93,7,14,60,50,B2,Regular,C,295,Centre,367.49,420,51-70
18815.0,1,0.16,9,16,64,50,B2,Regular,C,295,Centre,13.38,576,51-70
18840.0,1,1.0,5,11,43,50,B2,Diesel,A,44,Centre,1128.12,215,36-50
18844.0,1,1.0,4,4,75,50,B2,Regular,C,385,Centre,7165.1,300,
18854.0,1,0.34,6,0,52,50,B6,Regular,B,50,Centre,735.57,312,51-70
18869.0,1,0.79,7,8,43,50,B2,Regular,A,16,Centre,234.15,301,36-50
18916.0,1,0.33,10,7,49,50,B11,Regular,B,73,Centre,66458.9,490,36-50
18926.0,1,1.0,7,10,67,55,B2,Regular,A,48,Centre,770.54,469,51-70
19064.0,1,1.0,6,9,53,50,B2,Regular,A,24,Centre,956.84,318,51-70
19170.0,1,1.0,12,5,51,50,B12,Diesel,A,8,Pays-de-la-Loire,1128.12,612,51-70
19190.0,1,1.0,5,1,79,50,B2,Regular,C,240,Rhone-Alpes,2703.84,395,
19195.0,2,1.0,7,3,75,58,B2,Regular,B,91,Centre,4925.36,525,
19195.0,2,1.0,7,3,75,58,B2,Regular,B,91,Centre,5925.6,525,
19220.0,1,1.0,5,9,43,50,B4,Diesel,A,35,Centre,772.17,215,36-50
19280.0,1,0.24,7,0,54,50,B13,Diesel,E,4116,Centre,1232.63,378,51-70
19326.0,1,1.0,6,5,54,50,B5,Regular,D,1102,Bretagne,2332.41,324,51-70
19343.0,1,1.0,6,2,80,50,B2,Regular,C,473,Bretagne,1128.12,480,
19374.0,1,1.0,4,12,49,50,B2,Regular,D,522,Pays-de-la-Loire,63.86,196,36-50
19424.0,1,0.87,6,1,71,62,B2,Diesel,C,229,Bretagne,1128.12,426,
19525.0,1,1.0,4,11,86,50,B2,Diesel,B,51,Centre,1128.12,344,
19548.0,1,1.0,7,13,73,50,B1,Regular,C,182,Centre,1128.12,511,
19591.0,1,1.0,8,6,69,50,B2,Regular,C,359,Bretagne,679.91,552,51-70
19642.0,1,0.74,6,4,42,50,B2,Diesel,A,28,Centre,1057.94,252,36-50
19677.0,1,0.98,7,6,52,50,B1,Diesel,A,44,Centre,240.86,364,51-70
19731.0,1,0.16,12,12,45,62,B3,Regular,A,10,Centre,1128.12,540,36-50
19831.0,1,1.0,5,2,52,58,B3,Diesel,D,1313,Centre,1368.55,260,51-70
19857.0,1,0.75,4,15,72,50,B1,Regular,B,57,Centre,504.93,288,
19871.0,1,1.0,7,11,87,69,B2,Regular,C,399,Centre,1128.12,609,
19883.0,1,1.0,6,2,50,68,B2,Diesel,A,32,Centre,30829.41,300,36-50
19887.0,2,1.0,5,17,58,102,B1,Regular,A,44,Centre,1128.12,290,51-70
19887.0,2,1.0,5,17,58,102,B1,Regular,A,44,Centre,1128.12,290,51-70
19962.0,1,1.0,7,14,55,50,B1,Regular,C,111,Centre,1128.12,385,51-70
20001.0,1,0.24,8,10,49,50,B10,Regular,A,12,Centre,4836.6,392,36-50
20012.0,1,1.0,7,5,51,50,B1,Diesel,B,59,Centre,215.84,357,51-70
20072.0,1,1.0,7,7,82,50,B1,Regular,A,27,Centre,500.0,574,
20126.0,1,1.0,9,1,62,55,B1,Regular,B,91,Centre,1189.41,558,51-70
20299.0,1,1.0,6,6,69,50,B3,Diesel,A,25,Centre,1128.12,414,51-70
20319.0,1,1.0,8,1,45,50,B2,Diesel,C,106,Centre,402.79,360,36-50
20324.0,1,1.0,7,5,72,50,B2,Regular,A,26,Centre,1128.12,504,
20394.0,1,1.0,5,6,46,76,B4,Diesel,E,2007,Ile-de-France,795.38,230,36-50
20462.0,1,1.0,11,6,42,50,B2,Regular,B,74,Centre,2163.72,462,36-50
20503.0,1,1.0,7,5,50,50,B1,Diesel,D,1313,Centre,2821.16,350,36-50
20513.0,1,1.0,4,21,68,50,B1,Regular,A,30,Centre,858.28,272,51-70
20558.0,1,1.0,7,12,68,50,B10,Regular,C,270,Centre,1128.12,476,51-70
20734.0,1,0.52,6,4,46,50,B2,Diesel,B,50,Basse-Normandie,1128.12,276,36-50
20761.0,1,1.0,8,6,58,55,B13,Diesel,D,575,Bretagne,1128.12,464,51-70
20769.0,1,0.99,11,8,53,77,B13,Regular,C,165,Bretagne,1128.12,583,51-70
20778.0,1,1.0,6,5,71,76,B2,Diesel,D,634,Bretagne,1128.12,426,
20867.0,1,0.96,4,15,54,50,B1,Regular,C,473,Bretagne,1128.12,216,51-70
20881.0,1,0.22,7,4,49,50,B2,Diesel,E,4128,Pays-de-la-Loire,3115.36,343,36-50
20918.0,1,1.0,5,14,49,55,B2,Regular,E,4128,Pays-de-la-Loire,1128.12,245,36-50
20924.0,1,1.0,7,10,47,50,B6,Diesel,C,122,Basse-Normandie,569.2,329,36-50
20946.0,1,1.0,5,4,71,50,B1,Regular,B,91,Pays-de-la-Loire,716.23,355,
21024.0,1,1.0,6,6,81,50,B13,Diesel,C,112,Centre,587.73,486,
21039.0,1,1.0,6,11,50,51,B2,Regular,B,60,Basse-Normandie,217.89,300,36-50
21060.0,1,0.42,6,12,42,50,B2,Regular,C,133,Bretagne,1128.12,252,36-50
21068.0,1,0.96,4,11,43,50,B1,Regular,C,196,Basse-Normandie,1721.48,172,36-50
21155.0,1,0.37,4,10,78,50,B2,Diesel,A,45,Centre,10407.2,312,
21180.0,1,1.0,6,3,51,57,B3,Regular,C,287,Bretagne,161.03,306,51-70
21222.0,1,1.0,4,10,54,50,B2,Regular,D,1182,Rhone-Alpes,1128.12,216,51-70
21271.0,1,1.0,7,14,84,50,B13,Regular,E,9307,Rhone-Alpes,1128.12,588,
21292.0,1,0.36,5,8,56,50,B2,Diesel,F,27000,Ile-de-France,1128.12,280,51-70
21328.0,1,1.0,6,5,59,73,B2,Diesel,C,270,Nord-Pas-de-Calais,1128.12,354,51-70
21343.0,1,0.52,7,3,51,56,B1,Diesel,B,71,Centre,1128.12,357,51-70
21357.0,2,1.0,4,12,39,50,B3,Diesel,A,32,Rhone-Alpes,446.45,156,36-50
21357.0,2,1.0,4,12,39,50,B3,Diesel,A,32,Rhone-Alpes,1272.46,156,36-50
21359.0,1,1.0,4,1,54,50,B1,Regular,A,40,Rhone-Alpes,492.97,216,51-70
21432.0,1,1.0,4,4,70,52,B2,Diesel,C,133,Rhone-Alpes,1128.12,280,51-70
21462.0,1,0.22,4,5,69,50,B1,Regular,C,473,Bretagne,1152.45,276,51-70
21549.0,1,1.0,4,10,56,54,B5,Regular,E,3386,Bretagne,1128.12,224,51-70
21575.0,1,1.0,5,2,72,50,B1,Regular,C,473,Bretagne,1128.12,360,
21602.0,1,1.0,5,1,58,64,B3,Regular,F,27000,Ile-de-France,133.39,290,51-70
21663.0,1,1.0,4,15,68,50,B1,Regular,A,9,Centre,1128.12,272,51-70
21701.0,1,1.0,4,8,39,50,B4,Diesel,A,29,Centre,75.32,156,36-50
21773.0,1,0.39,7,4,74,50,B1,Diesel,C,155,Centre,1128.12,518,
21825.0,1,0.43,5,4,53,50,B4,Diesel,C,128,Centre,1085.44,265,51-70
21846.0,1,0.5,7,4,52,50,B2,Regular,A,14,Centre,3407.2,364,51-70
21856.0,1,1.0,6,2,77,50,B1,Regular,C,399,Centre,366.4,462,
21905.0,1,0.74,6,1,58,50,B10,Regular,C,399,Centre,68.92,348,51-70
21940.0,1,1.0,6,6,65,62,B2,Diesel,A,16,Centre,1128.12,390,51-70
21969.0,1,1.0,7,11,55,90,B1,Regular,A,30,Centre,1247.73,385,51-70
21974.0,1,1.0,5,2,76,50,B2,Regular,A,43,Centre,1128.12,380,
21988.0,1,1.0,7,15,51,50,B2,Regular,A,25,Languedoc-Roussillon,92.43,357,51-70
22044.0,1,1.0,5,12,62,50,B3,Diesel,C,399,Centre,1128.12,310,51-70
22079.0,1,1.0,7,5,63,50,B2,Diesel,C,192,Centre,71.47,441,51-70
22111.0,1,0.71,7,3,51,55,B3,Diesel,A,9,Centre,1128.12,357,51-70
22231.0,1,1.0,5,6,57,62,B4,Diesel,E,4116,Centre,1250.08,285,51-70
22234.0,1,1.0,6,3,41,50,B2,Regular,C,270,Centre,1320.24,246,36-50
22289.0,1,0.75,6,4,48,58,B1,Diesel,A,13,Pays-de-la-Loire,1128.12,288,36-50
22300.0,1,0.77,6,1,48,50,B2,Regular,D,1064,Centre,1957.96,288,36-50
22303.0,1,1.0,9,13,44,50,B11,Diesel,C,394,Centre,66.32,396,36-50
22350.0,1,0.72,5,0,64,50,B2,Diesel,B,51,Centre,2839.2,320,51-70
22364.0,1,1.0,6,3,47,50,B1,Diesel,A,15,Bourgogne,914.09,282,36-50
22479.0,1,1.0,7,11,41,50,B1,Regular,D,821,Centre,139.65,287,36-50
22576.0,1,1.0,4,15,72,50,B2,Regular,C,229,Bretagne,1128.12,288,
22652.0,1,1.0,6,3,38,50,B1,Diesel,E,2103,Basse-Normandie,1128.12,228,36-50
22695.0,1,1.0,5,8,66,50,B5,Regular,D,1192,Bretagne,64.0,330,51-70
22729.0,1,1.0,8,6,45,50,B12,Regular,C,473,Bretagne,3921.13,360,36-50
22743.0,1,0.75,7,7,57,50,B5,Regular,C,229,Bretagne,1128.12,399,51-70
22752.0,1,1.0,6,2,58,50,B1,Diesel,C,473,Bretagne,400.15,348,51-70
22787.0,1,1.0,6,6,65,52,B1,Regular,C,229,Bretagne,1128.12,390,51-70
22816.0,1,0.88,5,6,52,50,B3,Regular,C,473,Bretagne,564.06,260,51-70
22838.0,1,1.0,7,3,56,50,B1,Diesel,C,206,Provence-Alpes-Cotes-D'Azur,1128.12,392,51-70
22870.0,1,1.0,5,5,43,50,B2,Regular,E,4128,Pays-de-la-Loire,462.01,215,36-50
22889.0,1,1.0,7,6,44,50,B2,Diesel,B,77,Basse-Normandie,1128.12,308,36-50
22913.0,1,0.72,6,7,51,50,B1,Regular,E,8884,Ile-de-France,304.9,306,51-70
22925.0,2,1.0,6,9,80,50,B1,Regular,D,1284,Basse-Normandie,264.4,480,
22925.0,2,1.0,6,9,80,50,B1,Regular,D,1284,Basse-Normandie,1128.12,480,
22936.0,1,0.24,11,7,60,51,B2,Regular,E,3386,Bretagne,76.11,660,51-70
22965.0,1,1.0,7,7,49,67,B2,Diesel,C,165,Bretagne,1128.12,343,36-50
22984.0,1,1.0,6,2,66,50,B1,Diesel,C,165,Bretagne,1128.12,396,51-70
23018.0,1,1.0,7,16,51,50,B14,Diesel,C,240,Rhone-Alpes,867.21,357,51-70
23097.0,1,1.0,5,1,45,68,B2,Regular,C,481,Rhone-Alpes,1128.12,225,36-50
23145.0,1,1.0,6,11,69,50,B6,Regular,E,3859,Rhone-Alpes,1128.12,414,51-70
23150.0,1,1.0,7,2,72,50,B2,Regular,D,600,Rhone-Alpes,538.15,504,
23164.0,1,1.0,7,11,51,50,B11,Regular,E,3457,Rhone-Alpes,208.13,357,51-70
23167.0,1,1.0,4,6,51,50,B6,Regular,A,36,Ile-de-France,62.56,204,51-70
23172.0,1,0.73,4,3,75,50,B1,Regular,A,28,Rhone-Alpes,1128.12,300,
23236.0,1,1.0,5,1,59,50,B4,Regular,D,609,Provence-Alpes-Cotes-D'Azur,1128.12,295,51-70
23250.0,1,0.89,5,6,62,50,B1,Regular,C,141,Rhone-Alpes,79.13,310,51-70
23325.0,1,1.0,4,5,56,50,B6,Regular,C,461,Bretagne,42.76,224,51-70
23336.0,1,1.0,5,13,86,58,B2,Regular,A,16,Centre,1128.12,430,
23370.0,1,0.97,6,2,79,50,B2,Diesel,C,118,Centre,2564.57,474,
23397.0,1,0.63,5,9,36,50,B5,Diesel,D,1064,Centre,1128.12,180,36-50
23422.0,1,1.0,5,1,54,50,B10,Diesel,E,3866,Centre,7622.45,270,51-70
23427.0,1,1.0,6,4,50,50,B5,Diesel,C,282,Centre,1128.12,300,36-50
23433.0,1,1.0,9,12,53,50,B14,Regular,D,1193,Centre,1128.12,477,51-70
23459.0,1,0.87,4,3,46,50,B2,Regular,A,28,Centre,1128.12,184,36-50
23489.0,1,0.41,9,11,29,60,B10,Diesel,E,3866,Centre,3000.0,261,26-35
23514.0,1,0.66,7,4,49,50,B2,Diesel,B,97,Centre,84.09,343,36-50
23528.0,1,0.7,6,10,63,50,B1,Diesel,D,1398,Centre,7902.51,378,51-70
23586.0,1,0.26,7,11,33,50,B1,Regular,C,374,Centre,1472.37,231,26-35
23587.0,1,0.73,7,17,33,77,B1,Regular,C,374,Centre,1128.12,231,26-35
23692.0,1,1.0,6,11,50,50,B1,Regular,F,10156,Ile-de-France,1128.12,300,36-50
